X_REF,Y_REF,elevation,yield,ECs,ECd
874415.246,6550014.78,127.55805,3.06084187,6.21726438,6.24155906
874425.246,6550014.78,127.543368,3.50475283,5.85830317,6.34305174
874435.246,6550014.78,127.45123,3.76798358,5.4918765,6.30277492
874445.246,6550014.78,127.354836,3.791266,6.28747777,6.35950154
874455.246,6550014.78,127.232534,3.82588572,6.33747231,6.26996016
874465.246,6550014.78,127.121115,3.83983732,6.48518276,6.23949968
874475.246,6550014.78,126.984952,3.80307519,6.93055572,6.80351915
874485.246,6550014.78,126.874317,3.6699939,7.2365169,7.34448727
874495.246,6550014.78,126.806067,3.45578625,7.33758669,7.5870284
874505.246,6550014.78,126.739637,3.25701131,7.24571312,7.51642029
874515.246,6550014.78,126.669398,3.49974462,7.22516449,7.38359022
874525.246,6550014.78,126.620782,3.85276087,7.10188328,7.35227655
874535.246,6550014.78,126.589501,3.64144288,7.08407991,7.33296547
874545.246,6550014.78,126.539326,3.59620815,7.33663287,7.77730596
874555.246,6550014.78,126.43833,3.66024469,7.28793324,8.06956841
874565.246,6550014.78,126.325461,3.67745155,6.93561687,7.56112509
874575.246,6550014.78,126.230168,3.84141197,6.99538048,7.02868758
874585.246,6550014.78,126.134463,3.49928968,7.27148111,7.54473523
874595.246,6550014.78,126.021729,3.45623553,7.38196601,7.9889553
874605.246,6550014.78,125.944955,3.49484841,8.13999853,8.6078106
874615.246,6550014.78,125.903435,3.35324992,8.83066215,9.06182016
874625.246,6550014.78,125.87359,3.48594789,8.7331838,8.69736408
874635.246,6550014.78,125.835896,3.19676704,8.00430883,7.92141618
874645.246,6550014.78,125.786543,2.97091504,7.23073001,7.02067944
874655.246,6550014.78,125.756263,3.04368819,6.32070024,6.71128206
874665.246,6550014.78,125.692799,3.09509933,6.16199137,6.79937027
874675.246,6550014.78,125.570402,3.60621952,6.47138403,7.08018474
874685.246,6550014.78,125.468674,4.09570965,7.01976681,6.85549143
874695.246,6550014.78,125.38535,4.2236091,7.73665946,7.56173
874705.246,6550014.78,125.312352,4.63682563,8.67773023,8.81372354
874715.246,6550014.78,125.247434,5.7701034,9.55390527,9.40555056
874725.246,6550014.78,125.157695,7.12542946,9.38948081,9.74115798
874735.246,6550014.78,125.067765,7.97203665,9.26440836,10.0521848
874745.246,6550014.78,124.963781,9.021314,9.07996193,9.34517344
874755.246,6550014.78,124.899623,9.79909466,9.03702475,8.94316899
874765.246,6550014.78,124.845538,9.44560921,8.4014978,8.69405971
874775.246,6550014.78,124.778506,9.48792559,8.51815698,8.60608921
874785.246,6550014.78,124.727351,9.95286053,9.0372055,9.13926531
874795.246,6550014.78,124.66839,10.2277028,9.09995984,9.95564772
874805.246,6550014.78,124.585556,10.7195588,8.92949641,9.68114326
874815.246,6550014.78,124.508998,11.3299538,9.22078339,9.51433872
874825.246,6550014.78,124.447634,10.8150642,9.48896932,9.35789152
874835.246,6550014.78,124.417293,8.83357675,9.45316872,9.65822612
874845.246,6550014.78,124.384948,9.52195324,9.771207,10.4361945
874855.246,6550014.78,124.361974,6.044447,9.97298562,11.0222946
874865.246,6550014.78,124.389186,3.40021954,9.82784811,11.4613442
874875.246,6550014.78,124.427109,3.10216421,9.45591054,11.194471
874885.246,6550014.78,124.364204,2.99645523,9.07605839,10.5411854
874895.246,6550014.78,124.32027,2.92741564,9.28332704,9.03648255
874905.246,6550014.78,124.300201,3.03936922,8.4032623,9.20751501
874915.246,6550014.78,124.253825,2.76961965,8.83675741,10.7043478
874925.246,6550014.78,124.217489,4.42256569,9.9434098,9.62323032
874935.246,6550014.78,124.178484,6.16353206,11.5305496,10.7151647
874945.246,6550014.78,124.161769,6.0632745,12.9472058,11.442563
874955.246,6550014.78,124.143495,6.97965857,13.8920954,12.0090436
874385.246,6550004.78,127.361833,2.49972319,6.66253472,6.46821382
874395.246,6550004.78,127.42075,2.04359395,6.20881465,6.44593694
874405.246,6550004.78,127.461842,2.57078166,5.89291039,6.39214569
874415.246,6550004.78,127.530268,3.10734915,5.46000661,6.08781967
874425.246,6550004.78,127.50678,3.52767848,5.23931099,6.09031619
874435.246,6550004.78,127.397498,3.78948452,5.66116669,6.08745441
874445.246,6550004.78,127.284878,3.86113044,6.00600619,6.26319225
874455.246,6550004.78,127.165767,3.88320172,6.13782227,6.62473254
874465.246,6550004.78,127.060689,3.87164701,6.6056147,6.64623148
874475.246,6550004.78,126.922305,3.83055614,7.13227316,7.16759376
874485.246,6550004.78,126.815301,3.7138163,7.22003644,7.99750805
874495.246,6550004.78,126.751796,3.60510177,7.59978532,7.95054119
874505.246,6550004.78,126.659719,3.50952254,7.64529174,7.94895124
874515.246,6550004.78,126.5688,3.65647658,7.4788572,7.67163683
874525.246,6550004.78,126.51368,3.95630299,7.21202665,7.47339963
874535.246,6550004.78,126.481288,3.89288294,6.95089202,7.04106896
874545.246,6550004.78,126.413144,3.81076517,7.40325671,7.64529174
874555.246,6550004.78,126.325012,3.76342708,7.61804671,8.17859193
874565.246,6550004.78,126.217585,3.70102571,7.51394029,8.34272582
